ID,ID_DET_DEMONSTRATIVO_REFERENCIA,PADRAO_CTACTB,SINAL
45458,5,2.1.01.02.000170,-1
45459,5,2.1.01.02.000857,-1
45460,5,2.1.01.02.000283,-1
45461,5,2.1.01.02.000806,-1
45462,5,2.1.01.02.001062,-1
45463,5,2.1.01.02.000593,-1
45464,5,2.1.01.02.000051,-1
45465,5,2.1.01.02.000229,-1
45466,5,2.1.01.02.000979,-1
45467,5,2.1.01.02.000879,-1
45468,5,2.1.01.02.000646,-1
45469,5,2.1.01.02.001087,-1
45470,5,2.1.01.02.000451,-1
45471,5,2.1.01.02.000813,-1
45472,5,2.1.01.02.000920,-1
45473,5,2.1.01.02.001203,-1
45474,5,2.1.01.02.000950,-1
45475,5,2.1.01.02.000605,-1
45476,5,2.1.01.02.000132,-1
45477,5,2.1.01.02.000725,-1
45478,5,2.1.01.02.000430,-1
45479,5,2.1.01.02.000289,-1
45480,5,2.1.01.02.000420,-1
45481,5,2.1.01.02.001342,-1
45482,5,2.1.01.02.001115,-1
45483,5,2.1.01.02.001223,-1
45484,5,2.1.01.02.001272,-1
45485,5,2.1.01.02.000174,-1
45486,5,2.1.01.02.000903,-1
45487,5,2.1.01.02.000445,-1
45488,5,2.1.01.02.000878,-1
45489,5,2.1.01.02.000790,-1
45490,5,2.1.01.02.000606,-1
45491,5,2.1.01.02.001237,-1
45492,5,2.1.01.02.000070,-1
45493,5,2.1.01.02.000180,-1
45494,5,2.1.01.02.000584,-1
45495,5,2.1.01.02.001474,-1
45496,5,2.1.01.02.000882,-1
45497,5,2.1.01.02.000307,-1
45498,5,2.1.01.02.001167,-1
45499,5,2.1.01.02.000465,-1
45500,5,2.1.01.02.000690,-1
45501,5,2.1.01.02.001356,-1
45502,5,2.1.01.02.001043,-1
45503,5,2.1.01.02.001130,-1
45504,5,2.1.01.02.001050,-1
45505,5,2.1.01.02.001849,-1
45506,5,2.1.01.02.001175,-1
45507,5,2.1.01.02.001439,-1
45508,5,2.1.01.02.000966,-1
45509,5,2.1.01.02.000106,-1
45510,5,2.1.01.02.001326,-1
45511,5,2.1.01.02.001138,-1
45512,5,2.1.01.02.001911,-1
45513,5,2.1.01.02.001233,-1
45514,5,2.1.01.02.001690,-1
45515,5,2.1.01.02.001724,-1
45516,5,2.1.01.02.000931,-1
45517,5,2.1.01.02.001289,-1
45518,5,2.1.01.02.001358,-1
45519,5,2.1.01.02.001238,-1
45520,5,2.1.01.02.000416,-1
45521,5,2.1.01.02.001124,-1
45522,5,2.1.01.02.001709,-1
45523,5,2.1.01.02.001867,-1
45524,5,2.1.01.02.001760,-1
45525,5,2.1.01.02.001757,-1
45526,5,2.1.01.02.001805,-1
45527,5,2.1.01.02.001711,-1
45528,5,2.1.01.02.001803,-1
45529,5,2.1.01.02.001142,-1
45530,5,2.1.01.02.001798,-1
45531,5,2.1.01.02.002007,-1
45532,5,2.1.01.02.000706,-1
45533,5,2.1.01.02.001826,-1
45534,5,2.1.01.02.001655,-1
45535,5,2.1.01.02.001947,-1
45536,5,2.1.01.02.002054,-1
45537,5,2.1.01.02.001916,-1
45538,5,2.1.01.02.001945,-1
45539,5,2.1.01.02.001585,-1
45540,5,2.1.01.02.001993,-1
45541,5,2.1.01.02.001771,-1
45542,5,2.1.01.02.002032,-1
45543,5,2.1.01.02.000803,-1
45544,5,2.1.01.02.000002,-1
45545,5,2.1.01.02.001033,-1
45546,5,2.1.01.02.000314,-1
45547,5,2.1.01.02.000294,-1
45548,5,2.1.01.02.001277,-1
45549,5,2.1.01.02.000556,-1
45550,5,2.1.01.02.001234,-1
45551,5,2.1.01.02.000783,-1
45552,5,2.1.01.02.000335,-1
