MES,ID_EMPRESA,ID_CONTA_CONTABIL,BP_TECWAY
01/2024,6,2.1.01.02.001170,0.0
01/2024,6,2.1.01.02.001204,0.0
01/2024,6,2.1.01.02.001205,-2.24
01/2024,6,2.1.01.02.001223,-2.8
01/2024,6,2.1.01.02.001225,-28.80327
01/2024,6,2.1.01.02.001231,0.0
01/2024,6,2.1.01.02.001238,0.0
01/2024,6,2.1.01.02.001257,0.0
01/2024,6,2.1.01.02.001259,-0.0
01/2024,6,2.1.01.02.001268,0.0
01/2024,6,2.1.01.02.001274,0.0
01/2024,6,2.1.01.02.001282,-0.0
01/2024,6,2.1.01.02.001289,0.0
01/2024,6,2.1.01.02.001290,-0.0
01/2024,6,2.1.01.02.001292,0.0
01/2024,6,2.1.01.02.001299,0.0
01/2024,6,2.1.01.02.001302,0.0
01/2024,6,2.1.01.02.001315,-21.3695
01/2024,6,2.1.01.02.001326,-0.0
01/2024,6,2.1.01.02.001363,0.0
01/2024,6,2.1.01.02.001376,0.0
01/2024,6,2.1.01.02.001385,0.0
01/2024,6,2.1.01.02.001398,0.0
01/2024,6,2.1.01.02.001404,0.0
01/2024,6,2.1.01.02.001412,0.0
01/2024,6,2.1.01.02.001424,0.0
01/2024,6,2.1.01.02.001434,-0.35
01/2024,6,2.1.01.02.001435,0.0
01/2024,6,2.1.01.02.001436,-0.6
01/2024,6,2.1.01.02.001444,0.0
01/2024,6,2.1.01.02.001453,0.0
01/2024,6,2.1.01.02.001467,0.0
01/2024,6,2.1.01.02.001468,0.0
01/2024,6,2.1.01.02.001474,0.0
01/2024,6,2.1.01.02.001475,0.0
01/2024,6,2.1.01.02.001493,0.0
01/2024,6,2.1.01.02.001554,0.0
01/2024,6,2.1.01.02.001555,0.0
01/2024,6,2.1.01.02.001556,0.0
01/2024,6,2.1.01.02.001557,0.0
01/2024,6,2.1.01.02.001558,-20.35
01/2024,6,2.1.01.02.001559,0.0
01/2024,6,2.1.01.02.001600,0.0
01/2024,6,2.1.01.02.001611,0.0
01/2024,6,2.1.01.02.001612,-0.9
01/2024,6,2.1.01.02.001620,0.0
01/2024,6,2.1.01.02.001671,0.0
01/2024,6,2.1.01.02.001690,-4.7
01/2024,6,2.1.01.02.001691,0.0
01/2024,6,2.1.01.02.001702,0.0
01/2024,6,2.1.01.02.001703,0.0
01/2024,6,2.1.01.02.001718,0.0
01/2024,6,2.1.01.02.001719,0.0
01/2024,6,2.1.01.02.001720,0.0
01/2024,6,2.1.01.02.001739,0.0
01/2024,6,2.1.01.02.001767,0.0
01/2024,6,2.1.01.02.001769,0.0
01/2024,6,2.1.01.02.001771,0.0
01/2024,6,2.1.01.02.001774,0.0
01/2024,6,2.1.01.02.001786,0.0
01/2024,6,2.1.01.02.001805,0.0
01/2024,6,2.1.01.02.001848,0.0
01/2024,6,2.1.01.02.001849,0.0
01/2024,6,2.1.01.02.001907,0.0
01/2024,6,2.1.01.02.001908,0.0
01/2024,6,2.1.01.02.001920,0.0
01/2024,6,2.1.01.04.000001,-49.153
01/2024,6,2.1.01.04.000002,0.0
01/2024,6,2.1.01.04.000003,0.0
01/2024,6,2.1.01.04.000007,-206.18291
01/2024,6,2.1.01.04.000008,-65.49546
01/2024,6,2.1.01.04.000009,-5.09226
01/2024,6,2.1.01.04.000010,-27.42294
01/2024,6,2.1.01.04.000011,-5.72653
01/2024,6,2.1.01.04.000012,0.0
01/2024,6,2.1.01.04.000014,0.0
01/2024,6,2.1.01.04.000016,0.0
01/2024,6,2.1.01.06.000002,310.60663
01/2024,6,2.1.01.06.000021,-974.00666
01/2024,6,2.1.01.07.000001,-1080.77977
01/2024,6,2.1.01.07.000003,-16.95741
01/2024,6,2.1.01.07.000006,140.62923
01/2024,6,2.1.01.07.000007,-25.90892
01/2024,6,2.1.01.07.000012,0.0
01/2024,6,2.1.01.07.000018,-101.35126
01/2024,6,2.1.01.07.000020,-89.87985
01/2024,6,2.1.01.07.000021,-108.44145
01/2024,6,2.1.01.07.000025,0.0
01/2024,6,2.1.01.07.000027,0.0
01/2024,6,2.1.01.08.000001,-195.43828
01/2024,6,2.1.01.08.000002,-738.53332
01/2024,6,2.1.01.08.000006,-46.01796
01/2024,6,2.1.01.08.000007,-27.61077
01/2024,6,2.1.01.10.000001,-0.11612
01/2024,6,2.1.01.10.000005,-1.28168
01/2024,6,2.1.01.10.000007,-0.02773
01/2024,6,2.1.01.10.000008,-0.38031
01/2024,6,2.1.01.10.000009,0.0
01/2024,6,2.1.01.11.000003,0.0
01/2024,6,2.1.01.11.000004,0.0
01/2024,6,2.1.01.11.000005,0.0
01/2024,6,2.1.01.11.000006,0.0
01/2024,6,2.1.01.11.000007,0.0
01/2024,6,2.1.01.11.000008,0.0
01/2024,6,2.1.01.12.000005,0.0
01/2024,6,2.1.01.12.000006,0.0
01/2024,6,2.1.01.12.000007,0.0
01/2024,6,2.1.01.12.000015,0.0
01/2024,6,2.1.01.12.000016,0.0
01/2024,6,2.1.01.12.000019,-79.15061
01/2024,6,2.1.01.13.000001,-15327.0
01/2024,6,2.2.01.01.000001,0.0
01/2024,6,2.2.01.02.000009,110.53485
01/2024,6,2.2.01.02.000011,-909.19472
01/2024,6,2.2.01.03.000001,0.0
01/2024,6,2.2.01.03.000003,0.0
01/2024,6,2.2.01.03.000006,19.5005
01/2024,6,2.2.01.03.000010,-27.02746
01/2024,6,2.2.01.03.000011,-95.87184
01/2024,6,2.2.01.03.000012,-21.68829
01/2024,6,2.2.01.03.000016,0.0
01/2024,6,2.2.01.04.000001,0.0
01/2024,6,2.2.01.07.000001,-8253.0
01/2024,6,2.3.01.01.000001,-4000.0
01/2024,6,2.3.01.01.000002,2000.0
01/2024,6,2.3.02.02.000004,-2204.33816
01/2024,6,2.3.03.01.000005,0.0
01/2024,6,2.3.03.01.000007,391.72748
01/2024,6,2.3.04.01.000004,3084.50035
01/2024,6,2.3.04.01.000006,-707.96833
01/2024,6,2.3.04.01.000007,831.76187
01/2024,6,2.3.04.01.000011,-1213.50166
01/2024,6,3.1.01.01.000002,-479.21352
01/2024,6,3.1.01.01.000003,0.0
01/2024,6,3.1.02.02.000002,0.0
01/2024,6,3.1.02.02.000003,0.0
01/2024,6,3.1.02.02.000004,0.0
01/2024,6,3.1.02.02.000009,0.0
01/2024,6,3.1.02.02.000010,9.58427
01/2024,6,3.1.03.02.000003,0.0
01/2024,6,3.2.01.01.000001,0.0
01/2024,6,4.1.01.01.000001,86.70582
01/2024,6,4.1.01.01.000002,0.0
01/2024,6,4.1.01.01.000003,9.6588
01/2024,6,4.1.01.01.000008,0.0
01/2024,6,4.1.01.01.000009,9.41081
01/2024,6,4.1.01.01.000010,0.0
01/2024,6,4.1.01.02.000001,26.04655
01/2024,6,4.1.01.02.000002,13.08985
01/2024,6,4.1.01.02.000003,0.0
01/2024,6,4.1.01.02.000004,0.0
01/2024,6,4.1.01.02.000006,0.0
01/2024,6,4.1.01.02.000007,0.0
01/2024,6,4.1.01.03.000001,4.68411
01/2024,6,4.1.01.03.000003,0.0
01/2024,6,4.1.01.03.000004,0.0
01/2024,6,4.1.01.03.000006,0.5
01/2024,6,4.1.01.03.000009,0.0
01/2024,6,4.1.01.03.000010,0.0
01/2024,6,4.1.01.04.000004,1.4
01/2024,6,4.1.01.05.000001,0.0
01/2024,6,4.1.01.05.000002,0.0
01/2024,6,4.1.01.05.000003,0.0
01/2024,6,4.1.01.05.000006,205.07646
01/2024,6,4.1.01.06.000001,0.0
01/2024,6,4.1.01.06.000002,0.0
01/2024,6,4.1.01.06.000004,0.0
01/2024,6,4.1.01.07.000007,0.0
01/2024,6,4.1.01.07.000012,0.0
01/2024,6,4.1.01.07.000013,0.0
01/2024,6,4.1.01.07.000014,0.0
01/2024,6,4.1.01.07.000018,0.0
01/2024,6,4.1.01.08.000001,0.0
01/2024,6,4.1.01.08.000004,46.0508
01/2024,6,4.1.01.08.000005,0.0
01/2024,6,4.1.01.08.000006,0.0
01/2024,6,4.1.01.11.000002,0.0
01/2024,6,4.1.01.11.000007,0.66592
01/2024,6,4.1.01.11.000008,0.0
01/2024,6,4.1.01.11.000009,0.0
01/2024,6,4.1.01.11.000025,0.0
01/2024,6,5.1.01.01.000001,6.31275
01/2024,6,5.1.01.01.000003,0.0
01/2024,6,5.1.01.01.000004,0.0
01/2024,6,5.1.01.01.000023,0.0
01/2024,6,5.1.01.01.000024,0.0
01/2024,6,5.1.01.02.000001,1.73886
01/2024,6,5.1.01.02.000002,0.50955
01/2024,6,5.1.01.02.000003,0.0
01/2024,6,5.1.01.02.000004,0.0
01/2024,6,5.1.01.02.000005,0.0
01/2024,6,5.1.01.02.000007,0.0
01/2024,6,5.1.01.03.000001,0.28389
01/2024,6,5.1.01.03.000004,0.0
01/2024,6,5.1.01.03.000006,0.0
01/2024,6,5.1.01.03.000009,0.0
01/2024,6,5.1.01.03.000010,0.0
01/2024,6,5.1.01.04.000001,0.0
01/2024,6,5.1.01.04.000002,0.0
01/2024,6,5.1.01.04.000004,0.0
01/2024,6,5.1.01.05.000001,0.0
01/2024,6,5.1.01.05.000002,0.0
01/2024,6,5.1.01.05.000006,0.18304
01/2024,6,5.1.01.05.000009,0.0
01/2024,6,5.1.01.06.000001,0.0
01/2024,6,5.1.01.06.000004,0.0
01/2024,6,5.1.01.06.000007,0.0
01/2024,6,5.1.01.07.000007,0.0
01/2024,6,5.1.01.07.000012,0.0
01/2024,6,5.1.01.08.000001,0.0
01/2024,6,5.1.01.08.000004,0.0
01/2024,6,5.1.01.08.000005,0.0
01/2024,6,5.1.01.11.000001,0.0
01/2024,6,5.1.01.11.000002,0.0
01/2024,6,5.1.01.11.000005,0.0
01/2024,6,5.1.01.11.000006,0.0
01/2024,6,5.1.01.11.000007,0.0
01/2024,6,5.1.01.11.000008,2.67056
01/2024,6,5.1.01.11.000009,0.0
01/2024,6,5.1.01.11.000012,0.0
01/2024,6,5.1.01.11.000014,0.0
01/2024,6,5.1.01.11.000015,0.0
01/2024,6,5.1.01.11.000016,0.0
01/2024,6,5.1.01.11.000017,0.0
01/2024,6,5.1.01.11.000021,0.0
01/2024,6,5.1.01.11.000022,0.0
01/2024,6,5.1.01.11.000025,0.0
01/2024,6,5.1.01.11.000026,0.0
01/2024,6,5.1.01.11.000027,0.0
01/2024,6,5.1.01.12.000001,0.0
01/2024,6,5.1.01.12.000009,0.0
01/2024,6,5.1.01.12.000011,0.0
01/2024,6,5.1.01.12.000020,0.0
01/2024,6,5.1.01.13.000001,0.0
01/2024,6,5.1.03.01.000001,0.05233
01/2024,6,5.1.03.01.000002,0.00913
01/2024,6,5.1.03.01.000004,39.89901
01/2024,6,5.1.03.01.000007,0.0
01/2024,6,5.1.04.01.000001,1.066
01/2024,6,5.1.04.01.000004,12.91722
01/2024,6,5.1.04.01.000005,0.0
01/2024,6,5.1.04.01.000006,0.00016
01/2024,6,5.1.04.01.000013,0.0
01/2024,6,5.1.04.01.000014,19.04159
01/2024,6,5.1.04.02.000001,0.0
01/2024,6,5.1.04.02.000002,0.0
01/2024,6,5.2.01.01.000001,0.75749
01/2024,6,6.1.01.02.000002,0.0
01/2024,7,1.1.01.01.000001,2.68061
01/2024,7,1.1.01.01.000006,0.0
01/2024,7,1.1.01.03.000012,-0.0
01/2024,7,1.1.01.03.000013,0.0
01/2024,7,1.1.01.03.000019,0.0
01/2024,7,1.1.01.04.000014,0.0
01/2024,7,1.1.01.04.000015,4.96112
01/2024,7,1.1.02.01.000010,0.0
01/2024,7,1.1.02.01.000017,7.39354
01/2024,7,1.1.02.01.000032,47.35225
01/2024,7,1.1.02.01.000040,0.0
01/2024,7,1.1.02.01.000042,0.0
01/2024,7,1.1.02.01.000043,0.0
01/2024,7,1.1.02.01.000050,0.0
01/2024,7,1.1.02.01.000058,0.0
01/2024,7,1.1.02.05.000001,0.0
01/2024,7,1.1.02.05.000019,6.94761
01/2024,7,1.1.02.05.000120,0.0
01/2024,7,1.1.02.05.000139,0.0
01/2024,7,1.1.02.05.000153,0.0
01/2024,7,1.1.02.05.000154,2.30758
01/2024,7,1.1.02.05.000172,414.08856
01/2024,7,1.1.02.05.000179,2.98807
01/2024,7,1.1.02.05.000188,0.0
01/2024,7,1.1.02.05.000189,4.63397
01/2024,7,1.1.02.05.000191,0.0
01/2024,7,1.1.02.05.000192,3156.93227
01/2024,7,1.1.02.05.000193,0.0
01/2024,7,1.1.02.05.000300,0.0
01/2024,7,1.1.02.05.000311,0.0
01/2024,7,1.1.02.05.000314,0.0
01/2024,7,1.1.02.05.000335,0.0
01/2024,7,1.1.02.05.000336,0.0
01/2024,7,1.1.02.05.000337,0.0
01/2024,7,1.1.02.05.000349,0.0
01/2024,7,1.1.02.05.000350,0.0
01/2024,7,1.1.02.05.000351,0.0
01/2024,7,1.1.02.05.000352,0.0
01/2024,7,1.1.02.05.000353,0.0
01/2024,7,1.1.02.05.000361,0.0
01/2024,7,1.1.02.05.000404,0.0
01/2024,7,1.1.02.05.000410,0.0
01/2024,7,1.1.02.06.000001,0.0
01/2024,7,1.1.02.07.000001,0.0
01/2024,7,1.1.02.07.000003,-0.0
01/2024,7,1.1.02.07.000004,0.0
01/2024,7,1.1.02.07.000005,0.0
01/2024,7,1.1.02.08.000004,0.0
01/2024,7,1.1.02.09.000001,0.48897
01/2024,7,1.1.02.11.000001,0.23391
01/2024,7,1.1.02.11.000002,3.73935
01/2024,7,1.1.02.11.000004,6.18752
01/2024,7,1.1.02.11.000005,-0.25504
01/2024,7,1.1.02.11.000006,11.46056
01/2024,7,1.1.02.11.000007,0.0
01/2024,7,1.1.03.01.000005,79.15061
01/2024,7,1.1.03.01.000006,0.0
01/2024,7,1.1.03.01.000009,1209.13316
01/2024,7,1.1.03.02.000008,21.91852
01/2024,7,1.1.03.03.000001,0.0
01/2024,7,1.1.03.03.000003,0.0
01/2024,7,1.1.04.01.000006,153.89762
01/2024,7,1.2.02.03.000002,155.05957
01/2024,7,2.1.01.02.000001,0.0
01/2024,7,2.1.01.02.000056,-4.07027
01/2024,7,2.1.01.02.000106,0.0
01/2024,7,2.1.01.02.000145,0.0
01/2024,7,2.1.01.02.000173,0.0
01/2024,7,2.1.01.02.000225,0.0
01/2024,7,2.1.01.02.000228,-0.79745
01/2024,7,2.1.01.02.000229,-310.4001
01/2024,7,2.1.01.02.000267,0.0
01/2024,7,2.1.01.02.000318,0.0
01/2024,7,2.1.01.02.000391,0.0
